Id,Title,StartDate,EndDate,Duration,Posts,Comments,TotalModeratedComments,UniquePageViews,PageViews,AvgMinutesOnPage,EngagementMinutes
"731713","Prva liga TS, 1. krog","7/18/2014 10:04:54 AM","7/21/2014 10:00:00 AM","2:22:23:59.17","182","24","2","29040","39030","10","392778"
"729683","Nesreča letala v Ukrajini","7/17/2014 8:04:32 PM","7/17/2014 10:01:37 PM","1:57:05.32","36","0","2","17795","23480","17","410827"
"716591","Mundial - FINALE","7/13/2014 4:00:00 AM","7/14/2014 8:00:00 PM","1:15:00:29.193","186","8","3","48146","65563","24","1584671"
"716174","Volitve DZ 2014","7/13/2014 12:15:57 PM","7/14/2014 12:28:20 AM","9:12:23.153","63","112","0","85661","124046","15","1980756"
"716589","Mundial, 31. dan","7/11/2014 12:37:21 PM","7/13/2014 4:00:00 AM","1:10:21:14.56","63","15","1","36378","46760","13","650894"
"716069","Mundial, 30. dan","7/11/2014 5:02:28 AM","7/12/2014 4:00:00 AM","15:55:41.28","35","7","1","13989","16461","11","196261"
"714465","Mundial, 29. dan","7/10/2014 6:04:43 AM","7/11/2014 4:00:00 AM","14:37:00.263","32","6","0","7241","8161","13","108284"
"711585","Mundial, 28. dan","7/10/2014 7:33:04 AM","7/10/2014 7:34:26 AM","0:01:22.67","95","23","4","51788","66491","16","1106736"
"708342","Mundial, 27. dan","7/7/2014 8:38:41 PM","7/9/2014 4:00:00 AM","1:2:17:27.167","55","16","4","78436","109572","15","1724848"
"701873","Mundial, 26. dan","7/6/2014 11:00:00 PM","7/8/2014 5:00:00 AM","1:4:35:36.403","33","13","2","12193","13659","13","184865"
"701868","Mundial, 25. dan","7/5/2014 11:00:00 PM","7/7/2014 5:00:00 AM","23:47:09.46","30","5","0","12189","13667","12","177131"
"701866","Mundial, 24. dan","7/6/2014 7:24:23 PM","7/6/2014 7:25:57 PM","0:01:34.573","112","14","2","46388","65639","14","957228"
"694280","Mundial, 23. dan","7/3/2014 11:00:00 PM","7/6/2014 7:18:56 PM","2:20:18:56.853","178","17","2","49636","68545","15","1030712"
"694278","Mundial, 22. dan","7/2/2014 11:00:00 PM","7/4/2014 12:54:36 PM","1:13:54:36.43","28","1","1","8137","9277","12","119658"
"694276","Mundial, 21. dan","7/1/2014 12:55:07 PM","7/4/2014 12:54:27 PM","2:23:59:20.527","35","2","0","13867","15579","13","214578"
"688701","Mundial, 20. dan","6/30/2014 11:00:00 PM","7/4/2014 12:54:18 PM","3:13:54:18.47","70","3","1","53923","75194","15","1142017"
"688696","Mundial, 19. dan","6/29/2014 11:10:10 AM","7/1/2014 5:00:00 AM","1:13:24:38.103","88","11","0","58799","75820","13","1043994"
"686367","Mundial, 18. dan","6/28/2014 11:38:37 AM","6/30/2014 5:00:00 AM","1:11:50:17.29","82","19","0","52083","68449","14","962965"
"684998","Mundial, 17. dan","6/27/2014 1:28:57 PM","6/29/2014 5:00:00 AM","1:10:18:17.807","138","13","0","42955","61397","14","859817"
"676498","Mundial, 16. dan","6/27/2014 6:30:00 AM","6/28/2014 5:00:00 AM","12:46:10.88","21","1","0","5582","6101","26","162896"
"676490","Mundial, 15. dan","6/26/2014 5:50:54 AM","6/27/2014 1:43:38 AM","16:52:44.2","42","11","0","44009","59298","12","752790"
"676482","Mundial, 14. dan","6/24/2014 4:17:54 PM","6/26/2014 5:00:00 AM","1:10:52:51.103","73","11","1","44589","65702","12","797513"
"675318","Mundial, 13. dan","6/24/2014 7:00:00 AM","6/25/2014 5:00:00 AM","15:32:20.327","74","1","0","36435","45303","12","580213"
"672455","Mundial, 12. dan","6/22/2014 9:42:31 PM","6/24/2014 5:00:00 AM","1:6:20:54.157","61","0","0","11123","17593","13","240548"
"665868","Mundial, 11. dan","6/22/2014 5:00:00 AM","6/23/2014 5:00:00 AM","23:41:34.677","65","5","0","41687","51126","12","656859"
"665732","Mundial, 10. dan","6/20/2014 11:26:02 AM","6/22/2014 5:00:00 AM","1:14:41:13.567","96","6","1","53399","78220","12","967998"
"665373","Mundial, 9. dan","6/20/2014 5:05:23 AM","6/21/2014 5:00:00 AM","17:46:52.81","55","1","1","27944","35382","11","402939"
"666005","Janša Dob","6/20/2014 2:04:29 PM","6/20/2014 8:43:12 PM","6:38:43.077","90","34","4","60030","87162","17","1503094"
"660367","Mundial, 8. dan","6/18/2014 3:41:59 PM","6/20/2014 5:00:00 AM","1:9:23:00.09","76","8","0","38672","52575","13","692351"
"655247","Mundial, 7. dan","6/16/2014 5:15:00 PM","6/19/2014 5:00:00 AM","2:10:35:59.177","83","7","0","47208","68247","14","981081"
"655232","Mundial, 6. dan","6/16/2014 5:27:07 PM","6/18/2014 5:00:00 AM","1:4:28:04.227","98","2","0","41855","58771","12","760407"
"651333","Mundial, 5. dan","6/15/2014 12:36:20 PM","6/17/2014 5:00:00 AM","1:8:28:53.813","78","1","0","11550","13109","11","150481"
"648646","Mundial, 4. dan","6/14/2014 12:48:49 PM","6/16/2014 5:00:00 AM","2:1:43:35.93","69","5","0","17313","21257","12","264779"
"631664","Vaja za mundial 2014","6/5/2014 10:59:27 AM","6/16/2014 10:00:00 AM","10:22:59:03.673","1533","6","0","5","14","6","86"
"645387","Mundial, 3. dan","6/13/2014 12:55:59 PM","6/15/2014 5:00:00 AM","1:10:33:10.577","55","4","0","34516","52131","12","643333"
"639266","Mundial, 2. dan","6/13/2014 3:15:00 AM","6/14/2014 5:00:00 AM","17:35:32.907","39","4","0","61933","102766","10","1107533"
"639181","Mundial, 1. dan","6/12/2014 5:15:00 AM","6/13/2014 5:00:00 AM","22:17:14.9","66","9","0","47166","60455","12","747299"
"631838","Referendum o arhivih","6/8/2014 3:46:18 PM","6/8/2014 8:10:03 PM","4:23:45.16","50","2","1","31674","40077","17","682547"
"600626","Prva liga TS: 35. krog","6/5/2014 10:52:52 AM","6/5/2014 10:56:46 AM","0:03:54.547","183","23","0","8705","11123","9","100640"
"560079","Kongres PS","6/3/2014 12:24:49 PM","6/3/2014 12:25:53 PM","0:01:04.52","260","4","0","38544","57299","15","906317"
"614214","Volitve v Evropski parlament","5/25/2014 7:56:08 PM","5/25/2014 11:19:54 PM","3:23:46.79","113","18","0","43188","53961","14","772395"
"614089","Prva liga TS: 36. krog","5/25/2014 2:33:35 PM","5/26/2014 1:49:32 AM","8:15:57","144","14","0","12043","15034","10","159893"
"610006","Real Madrid - Atletico Madrid, finale nogometne Lige prvakov","5/23/2014 12:56:47 PM","5/25/2014 8:00:00 AM","1:8:39:56.547","66","6","0","34876","49447","14","698046"
"605940","Finale Pokala Slovenije: Maribor - Gorica","5/21/2014 10:45:00 AM","5/22/2014 9:45:00 PM","1:10:28:28.977","29","27","0","15234","19676","15","295313"
"592692","Prva liga TS: 34. krog","5/14/2014 4:03:44 PM","5/15/2014 12:37:58 AM","5:34:14.41","271","37","3","27526","36879","10","369635"
"586535","Prva liga TS: 33. krog","5/10/2014 7:15:00 AM","5/12/2014 9:00:00 AM","2:23:27:37.527","187","20","0","14428","19808","10","209147"
"587329","Evrovizija 2014, finale","5/10/2014 4:41:23 PM","5/11/2014 1:12:24 AM","8:31:01.573","139","398","5","81923","117442","12","1452282"
"583563","Evrovizija, 2. polfinale","5/8/2014 5:47:54 PM","5/8/2014 11:35:19 PM","5:47:25.89","81","201","3","44311","64474","11","771895"
"579174","Prva liga TS: 32. krog","5/6/2014 12:44:22 PM","5/8/2014 9:00:00 AM","1:20:11:46.227","205","21","0","13303","17665","9","175809"
"577729","Evrovizija, 1. polfinale","5/6/2014 6:28:10 PM","5/6/2014 10:02:59 PM","3:34:49.187","84","128","0","20427","25797","10","261487"
"572629","Prva liga TS: 31. krog","5/2/2014 9:20:12 AM","5/5/2014 9:00:00 AM","2:23:35:01.887","202","27","0","25438","33289","9","322338"
"566836","Patria","4/28/2014 12:43:27 PM","4/28/2014 10:00:51 PM","9:17:24.4","38","19","2","53603","69430","16","1158155"
"562977","Prva liga TS: 30. krog","4/25/2014 5:36:45 PM","4/28/2014 9:00:00 AM","2:14:52:30.103","211","12","5","21854","28504","9","275090"
"558578","Prva liga TS: 29. krog","4/22/2014 10:28:26 AM","4/24/2014 11:00:00 AM","1:23:22:16.447","166","9","0","17793","23070","11","255050"
"554860","Prva liga TS: 28. krog","4/19/2014 9:49:19 AM","4/21/2014 8:00:00 AM","1:9:25:42.067","195","17","0","14612","19995","10","199966"
"550592","Prva liga TS: 27. krog","4/16/2014 4:45:00 PM","4/17/2014 1:00:00 PM","18:05:04.577","141","16","0","10195","13240","10","140787"
"540604","Prva liga TS: 26. krog","4/12/2014 7:49:02 AM","4/14/2014 8:00:00 AM","1:23:24:56.62","253","32","0","12448","16906","10","171371"
"525313","Prva liga TS: 25. krog","4/5/2014 4:46:37 AM","4/7/2014 8:00:00 AM","2:2:38:38.463","244","20","0","13131","17953","10","192946"
"520818","Pokal Slovenije, polfinale, povratni tekmi","4/2/2014 12:42:31 PM","4/3/2014 12:00:00 AM","8:52:41.767","74","13","0","13168","17720","12","221239"
"507568","Prva liga TS: 24. krog","3/25/2014 9:00:00 AM","3/31/2014 8:00:00 AM","5:11:21:17.663","321","2","0","14242","18434","9","178789"
"494290","Prva liga TS: 23. krog","3/18/2014 9:00:00 AM","3/24/2014 9:00:00 AM","5:10:40:24.217","230","14","0","12142","17521","9","166272"
"494285","Patria - pred in na sodišču","3/19/2014 5:25:23 AM","3/19/2014 3:50:41 PM","7:25:18.373","17","41","2","43689","58413","17","1027905"
"486927","Prva liga TS: 22. krog","3/14/2014 11:15:00 AM","3/17/2014 9:00:00 AM","2:20:46:47.553","235","21","0","21094","29462","10","301214"
"480706","REFERENDUM NA KRIMU","3/16/2014 5:00:00 AM","3/16/2014 10:32:17 PM","17:32:17.367","40","5","2","18095","23942","17","430379"
"473680","Prva liga TS: 21. krog","3/7/2014 12:18:20 PM","3/10/2014 10:00:00 AM","2:21:36:12.86","170","27","0","21209","28250","10","296505"
"468694","Ema 2014","3/8/2014 9:54:25 PM","3/9/2014 1:47:34 AM","0:53:09.757","85","49","6","41877","58458","11","683766"
"473077","Ukrajina, 7. 3. 2014","3/7/2014 5:45:00 AM","3/7/2014 10:30:00 PM","1:2:11:53.45","41","12","0","21328","26322","19","520125"
"473661","Ukrajina, 10. 3. 2014","3/10/2014 5:00:00 AM","3/11/2014 5:00:00 AM","-2:16:50:17.233","0","0","0","0","0","0","0"
"473660","Ukrajina, 9. 3. 2014","3/9/2014 5:00:00 AM","3/10/2014 5:00:00 AM","-1:16:50:48.127","0","0","0","0","0","0","0"
"473657","Ukrajina, 8. 3. 2014","3/8/2014 5:00:00 AM","3/9/2014 5:00:00 AM","-16:51:22.19","0","0","0","0","0","0","0"
"468873","Ukrajina, 6. 3. 2014","3/6/2014 6:08:26 AM","3/6/2014 10:55:00 PM","23:37:16.967","86","8","0","19834","25701","17","437454"
"458736","Prva liga TS: Olimpija - Maribor","3/6/2014 10:17:16 AM","3/6/2014 1:20:02 PM","0:02:46.243","88","13","0","33410","47596","14","676573"
"470988","VideoEmbedTest","3/6/2014 9:13:57 AM","3/6/2014 12:33:34 PM","0:19:37.28","6","0","0","5","7","106","744"
"463982","Ukrajina","3/5/2014 5:36:22 AM","3/5/2014 10:54:25 PM","17:18:03.96","71","7","0","17699","23151","23","549340"
"468698","test-new tmpl","3/5/2014 1:01:18 PM","3/5/2014 1:18:02 PM","0:16:44.63","0","0","0","0","0","0","0"
"460069","Kriza v Ukrajini","3/2/2014 10:00:00 AM","3/3/2014 5:00:00 AM","12:19:39.91","40","10","0","40485","52585","17","930927"
"432792","Soči 2014 - nedelja, 23. februarja","2/22/2014 11:00:00 PM","2/24/2014 6:00:00 AM","22:16:49.73","67","4","1","22022","27659","15","440786"
"396049","COC Sochi Photos","2/6/2014 12:28:23 PM","2/24/2014 12:00:00 PM","17:6:00:21.28","587","5","0","0","0","0","0"
"432790","Soči 2014 - sobota, 22. februarja","2/21/2014 11:00:00 PM","2/23/2014 6:00:00 AM","22:36:30.087","52","26","4","50007","75832","14","1094447"
"432786","Soči 2014 - petek, 21. februarja","2/20/2014 11:00:00 PM","2/22/2014 6:00:00 AM","1:2:11:42.517","54","8","0","26789","31727","15","479198"
"436272","Evropska liga, 1/16-finala: MARIBOR - SEVILLA","2/20/2014 12:15:00 PM","2/21/2014 9:22:44 AM","21:07:44.463","54","9","1","33697","49219","13","663283"
"432773","Soči 2014 - četrtek, 20. februarja","2/19/2014 11:00:00 PM","2/21/2014 6:00:00 AM","1:6:58:04.077","43","8","1","19107","22996","12","294216"
"426558","Soči 2014 - sreda, 19. februarja","2/18/2014 11:00:00 PM","2/20/2014 6:00:00 AM","21:56:14.84","48","19","0","32403","41883","14","618398"
"417787","Soči 2014 - torek, 18. februarja","2/17/2014 11:00:00 PM","2/19/2014 5:14:58 AM","1:6:14:58.53","54","9","0","8092","9656","17","169003"
"417783","Soči 2014 - ponedeljek, 17. februarja","2/16/2014 11:00:00 PM","2/18/2014 1:00:00 AM","1:0:34:42.663","52","10","1","31303","38656","13","519996"
"417782","Soči 2014 - nedelja, 16. februarja","2/15/2014 11:00:00 PM","2/17/2014 1:00:00 AM","22:23:58.553","61","6","0","10422","12456","10","128999"
"417779","Soči 2014 - sobota, 15. februarja","2/14/2014 11:00:00 PM","2/16/2014 1:00:00 AM","21:17:26.517","104","30","0","9569","11212","14","158868"
"411683","Soči 2014 - petek, 14. februarja","2/13/2014 11:00:00 PM","2/15/2014 1:00:00 AM","21:16:25.91","39","10","0","21210","24616","11","285105"
"411675","Soči 2014 - četrtek, 13. februarja","2/12/2014 11:00:00 PM","2/14/2014 1:00:00 AM","21:30:22.53","62","14","1","36347","45178","12","580104"
"407463","Soči 2014 - sreda, 12. februarja","2/11/2014 11:00:00 PM","2/13/2014 1:00:00 AM","1:0:29:46.947","60","17","2","47567","58640","11","667887"
"405327","Soči 2014 - torek, 11. februarja","2/10/2014 11:00:00 PM","2/12/2014 1:00:00 AM","22:50:39.45","55","20","0","33446","44208","11","510371"
"395980","Soči 2014 - ponedeljek, 10. februarja","2/9/2014 11:00:00 PM","2/11/2014 1:00:00 AM","21:41:54.38","68","18","0","29254","35385","10","363525"
"395827","Soči 2014 - petek, 7. februarja","2/7/2014 4:30:00 AM","2/7/2014 10:45:00 PM","3:1:18:23.867","140","14","8","49287","67991","14","959763"
"395975","Soči 2014 - sobota, 8. februarja","2/8/2014 5:15:00 AM","2/9/2014 1:00:00 AM","2:0:33:09.87","87","11","1","40418","53799","10","542212"
"395979","Soči 2014 - nedelja, 9. februarja","2/9/2014 12:45:00 AM","2/10/2014 12:45:00 AM","1:5:02:48.21","93","18","1","48516","64396","12","773288"
"364311","Shod soočenja s sistemsko korupcijo","1/17/2014 12:35:45 PM","1/17/2014 4:55:27 PM","4:19:42.21","14","20","0","9393","11365","15","173366"
"343716","SilvesterSkribl","12/31/2013 5:43:25 AM","12/31/2013 11:08:35 PM","17:25:10.38","58","17","0","16147","19245","10","204239"
"344627","Izvod SilvesterSkribl","12/31/2013 5:43:25 AM","12/31/2013 10:57:01 PM","14:13:36.02","0","0","0","0","0","0","0"
"334772","Protestival","12/20/2013 5:34:33 PM","12/20/2013 8:45:21 PM","3:10:49.007","36","4","0","5874","6559","12","82041"
"322856","Bančna luknja","12/12/2013 6:00:00 AM","12/12/2013 3:54:03 PM","9:54:03.817","43","10","0","35779","45054","17","801291"
"314715","20. krog Prve lige TS","12/6/2013 2:37:36 PM","12/9/2013 7:00:00 AM","2:8:31:14.59","163","17","0","7469","9561","9","94567"
"314333","Žreb skupin za svetovno nogometno prvenstvo v Braziliji 2014","12/6/2013 11:15:00 AM","12/6/2013 9:00:00 PM","7:04:56.14","32","1","0","18819","23576","16","388040"
"314301","Žreb skupina za svetovno nogometno prvenstvo v Braziliji 2014","12/6/2013 11:02:07 AM","12/6/2013 11:20:50 AM","0:18:43.5","0","0","0","0","0","0","0"
"305621","19. krog Prve lige Telekom Slovenije","12/1/2013 2:15:00 PM","12/4/2013 7:00:00 AM","3:0:46:44.553","159","67","0","23473","29832","10","308696"
"296916","18. krog Prve lige Telekom Slovenije","11/23/2013 7:45:00 AM","11/27/2013 9:00:00 AM","4:1:05:41.303","242","35","0","22005","29003","9","268914"
"273814","Evropska liga, 4. krog, Maribor - Zulte Waregem","11/7/2013 11:00:27 AM","11/8/2013 7:36:54 AM","20:36:27.82","22","1","0","17234","22921","13","302631"
"261313","Torek","10/29/2013 2:31:58 PM","10/29/2013 7:14:18 PM","4:42:20.803","49","25","0","23806","29681","14","442337"
"243310","Kvalifikacije za SP v nogometu, Švica - Slovenija","10/15/2013 7:09:19 AM","10/16/2013 7:00:00 AM","15:00:05.723","74","41","0","44265","64868","13","864081"
"240110","Kvalifikacije za SP v nogometu: Slovenija - Norveška","10/11/2013 8:30:00 AM","10/12/2013 5:31:48 AM","21:02:26.633","132","4","0","50710","72131","15","1099025"
"234626","13. krog Prve lige Telekom Slovenije","10/5/2013 2:15:00 PM","10/7/2013 7:00:00 AM","1:15:33:01.92","294","29","0","27023","35812","10","367816"
"226527","12. krog Prve lige TS","9/28/2013 12:02:31 PM","9/29/2013 2:06:52 AM","11:04:21.73","149","11","0","15070","21331","10","220899"
"222719","11. krog Prve lige TS","9/25/2013 1:32:31 PM","9/26/2013 12:14:27 AM","7:41:56.66","142","7","0","14473","19273","11","213243"
"217150","EuroBasket, 22. september","9/22/2013 6:32:38 AM","9/23/2013 5:49:50 AM","20:17:12.63","95","9","0","43803","58486","16","957750"
"216479","10. krog Prve lige TS","9/22/2013 10:06:44 PM","9/23/2013 1:06:44 AM","0:00:00.507","173","20","0","25724","33100","9","309000"
"216400","EuroBasket, 21. september","9/21/2013 6:25:04 AM","9/22/2013 5:00:00 AM","22:42:18.913","162","5","0","41040","56951","15","878911"
"215414","EuroBasket, 20. september","9/20/2013 8:19:26 AM","9/21/2013 8:00:00 AM","13:28:48.57","82","7","0","44591","61663","18","1132121"
"214577","1. krog Evropske lige, skupina D: Maribor - Rubin Kazan","9/19/2013 8:07:51 AM","9/20/2013 7:00:00 AM","21:52:12.067","65","10","0","24791","31826","11","380887"
"214540","EuroBasket, 19. september","9/19/2013 6:24:51 AM","9/20/2013 5:07:54 AM","19:43:03.327","162","13","0","62101","84487","18","1566080"
"213054","EuroBasket, 18. september","9/18/2013 5:08:40 AM","9/19/2013 5:00:00 AM","18:29:32.923","157","47","0","72871","111647","16","1835157"
"209916","EuroBasket, 16. september","9/16/2013 4:51:40 PM","9/17/2013 12:24:53 AM","4:33:13.717","114","35","0","87307","128299","16","2128292"
"207826","Prva liga TS, 9. krog","9/14/2013 5:00:00 AM","9/16/2013 5:00:00 AM","1:23:50:44.67","104","62","0","15189","18535","9","170515"
"209319","EuroBasket, 15. september","9/15/2013 9:31:54 AM","9/16/2013 5:00:00 AM","14:28:35.557","69","8","0","61795","82877","15","1251347"
"207857","EuroBasket, 14. septembra","9/14/2013 11:01:44 AM","9/15/2013 3:04:51 AM","13:03:07.977","160","26","0","62624","95936","15","1514777"
"207002","EuroBasket, 13. september","9/13/2013 6:57:30 AM","9/14/2013 12:19:06 AM","14:21:36.153","81","8","0","37330","47897","16","770079"
"205940","EuroBasket, 12 . september","9/12/2013 6:08:01 AM","9/13/2013 6:54:35 AM","1:0:46:34.94","164","35","0","70284","104360","17","1809225"
"205046","EuroBasket, 11. september","9/11/2013 8:12:59 AM","9/12/2013 1:59:16 AM","14:46:17.77","102","5","0","43179","55620","15","876640"
"200801","EuroBasket, 6. dan","9/9/2013 7:00:00 AM","9/10/2013 8:00:00 AM","15:06:24.823","137","9","0","86690","126738","13","1731013"
"199382","EuroBasket 2013, 5. dan","9/8/2013 5:24:20 AM","9/9/2013 1:13:41 AM","16:49:21.63","204","10","0","73636","111321","13","1507817"
"197983","Eurobasket 2013, četrti dan","9/7/2013 6:45:00 AM","9/7/2013 11:57:48 PM","14:12:48.77","133","12","0","51834","76766","15","1207860"
"196507","Eurobasket 2013, tretji dan","9/6/2013 6:29:06 AM","9/7/2013 6:42:43 AM","1:0:14:57.92","55","10","0","38768","49752","13","665888"
"196870","Slovenija - Albanija, nogometne kvalifikacije za SP 2014","9/6/2013 1:31:14 PM","9/7/2013 2:19:40 AM","9:48:26.25","87","19","0","33441","47505","12","611463"
"195441","Eurobasket 2013, drugi dan","9/5/2013 5:41:47 AM","9/6/2013 8:00:00 AM","17:22:14.54","206","10","0","88682","130635","15","2064066"
"194555","Protest zaradi političnega kadrovanja","9/5/2013 2:10:50 PM","9/5/2013 5:06:23 PM","2:55:33.69","48","0","0","9176","10966","17","190810"
"194343","EuroBasket 2013, 1. dan","9/4/2013 4:50:10 AM","9/5/2013 4:45:23 AM","23:55:13.06","307","47","0","79584","121738","14","1765766"
"188184","8. krog Prve lige Telekom Slovenije","8/31/2013 12:00:12 PM","9/1/2013 2:35:23 AM","11:35:11.88","85","8","0","14925","20482","9","202225"
"130542","PRAZNIČNA VSTAJA","8/31/2013 6:33:14 AM","8/31/2013 6:36:03 AM","0:02:49.42","75","0","2","16527","19655","15","304078"
"187302","Sirija","9/30/2013 12:30:00 PM","9/30/2013 3:30:00 PM","-30:23:28:15.963","1","0","0","0","0","0","0"
"184549","4. predkrog nogometne Lige prvakov, povratna tekma, Maribor - Viktoria Plzen","8/28/2013 11:08:16 AM","8/28/2013 10:30:25 PM","12:18:27.62","53","48","0","33209","48545","12","620243"
